station,date_time,water_column_position,chl_a,cond,depth_m,DO_mg_L,DO_percent,PE,pH,sal,sp_cond,temp_C
AVR1,8/5/2019,,4.08,157,NA,10.78,92,5.62,8.01,0.11,234,8.4
Beaufort2018,8/4/2018,bottom,3.11,24701,3.277,12.47,100.9,4.35,7.85,30.77,49990,-1.5
EELD1,4/16/2019,bottom,0.63,27750,2.9,10.41,86.8,2.14,7.38,35.34,56927,-1.8
EELD1,4/16/2019,surface,0.44,27273,1.5,10.64,88.2,2.09,7.46,34.87,56225,-2
EELD1,7/31/2019,bottom,1.5,26903,1.9,10.33,104.7,1.6,7.95,24.55,38600,9.1
EELD1,7/31/2019,surface,1,26767,0.09,9.91,105.4,1.43,7.92,23.55,37317,10.5
EELD2,7/31/2019,bottom,4.18,27339,1.8,9.98,99,5.85,7.84,25.89,40847,7.7
EELD2,7/31/2019,surface,3.19,27260,0.07,10.02,103.9,3.9,7.76,23.94,37940,10.3
EELD2,8/12/2019,bottom,2.76,29584,2.2,9.51,97.3,4.39,7.96,27.53,43223,8.5
EELD2,8/12/2019,surface,3.82,21714,0.3,10.48,101.4,5.76,7.97,19.72,31837,8.4
EELS1,6/22/2019,,1.9,2752,0.1,12.99,95.8,4.15,7.42,2.59,4893,2.1
EELS1,7/31/2019,,3,27168,0.08,9.99,103.9,3.9,7.92,23.5,37175,10.9
EELS2,7/31/2019,,2.74,26490,0.04,9.96,103.6,3.26,7.8,22.88,36344,10.8
EWLD1,7/28/2018,bottom,2.3,-99999,2.6,10.32,99.9,4.6,7.94,27.49,43337,6.2
EWLD1,7/28/2018,surface,1.21,-99999,0.16,10.42,101.1,3.71,7.78,27,42601,6.4
EWLD1,7/29/2018,bottom,2.12,-99999,3.3,10.76,105.6,5.17,7.91,27.31,43003,6.8
EWLD1,7/29/2018,surface,0.73,-99999,0.05,10.25,100.9,1.84,7.91,26.91,42396,7.1
EWLD1,4/13/2019,surface,0.3,27126,1.05,10.46,86.5,1.5,7.69,34.68,55975,-2
EWLD1,4/13/2019,bottom,0.39,27164,2.06,9.79,80.6,1.6,7.62,34.6,55933,-2
EWLD1,6/23/2019,bottom,19.7,9590,2.39,10.91,80,51.47,7.2,10.54,18426,-0.3
EWLD1,6/23/2019,surface,0.73,3302,0.76,13.15,93.4,1.8,8.6,3.28,6184,0.6
EWLD1,6/24/2019,bottom,3,4887,2.5,11.71,83.6,14.49,7.73,6.67,9488,-0.2
EWLD1,6/24/2019,surface,2.37,3155,0.65,13.18,92.4,5.1,7.56,3.18,5494,0.1
EWLD1,8/5/2019,bottom,2.1,33385,0.21,10.35,111.1,4.1,8.04,30.31,46911,9.9
EWLD1,8/5/2019,surface,2.27,33171,2.46,9.47,101.5,3.05,7.98,30.1,46604,9.9
EWLD2,7/29/2018,bottom,1.92,28894,3.6,11.39,109.2,2.81,7.99,29.39,46280,5.4
EWLD2,7/29/2018,surface,0.75,-99999,0.05,11.16,103.8,1.78,7.82,18.89,41794,6.9
EWLD2,4/15/2019,bottom,0.34,27666,3.3,10.36,86.5,2.3,7.51,35.33,5645,-1.8
EWLD2,4/15/2019,surface,0.23,26476,1.4,10.54,86.8,1.4,7.79,33.69,54465,-1.9
EWLD2,8/5/2019,bottom,2.55,32553,2.75,9.13,97.1,3.5,7.95,29.7,46081,9.6
EWLD2,8/5/2019,surface,2.28,30344,0.12,9.67,100.6,3.65,7.93,27.78,43400,9.3
EWLD2,8/12/2019,bottom,2.62,32494,3.3,9.5,100.7,12.42,8.01,29.79,46353,9.4
EWLD2,8/12/2019,surface,3.04,31573,0.3,9.67,101.1,4.15,8.02,29.13,45314,9.1
EWLS1,7/28/2018,,3.24,-99999,0.5,10,99,5.67,7.85,25.19,39842,7.8
EWLS1,6/21/2019,,1.3,2330,NA,12.85,95.2,4.11,7.54,2.15,4086,2.3
EWLS1,8/5/2019,,2.64,25980,0.23,10.25,102.3,4.29,7.98,24.98,37790,8.8
EWLS2,6/22/2019,,3.19,2387,NA,12.9,95.2,6.23,7.4,2.2,4206,2.2
EWLS2,8/5/2019,,2.3,27666,0.25,9.76,99.2,3.6,7.85,25.32,39999,9
JALD1,8/2/2018,surface,2.48,6414,0.016,11.37,99.5,6.03,7.92,5.32,9482,8.1
JALD1,8/2/2018,bottom,4.75,11310,2.818,11.96,97.9,11.88,7.86,11.1,18984,3.8
JALD1,8/9/2019,bottom,3.16,26649,2.9,9.99,98.3,8.13,7.43,25.32,40076,7.5
JALD1,8/9/2019,surface,3.1,25376,0.1,10.26,99.1,7.82,7.46,24.28,38610,7.1
JALD2,8/1/2018,bottom,7.19,24802,2.964,8.93,82.4,17.87,7.32,25.28,40339,4.8
JALD2,8/1/2018,surface,3.99,5303,0.022,11.24,100.1,8.06,7.85,4.22,7615,9.1
JALD2,4/27/2019,bottom,0.32,30329,2.42,4.86,41.8,4.18,7.16,38.81,61800,-1.7
JALD2,4/27/2019,surface,0.19,26862,1.53,11.4,94.5,4.11,7.62,33.99,54809,-1.7
JALD2,6/21/2019,bottom,2.25,28559,3.2,8.44,74.5,6.57,7.06,33.35,52870,0.9
JALD2,6/21/2019,surface,1.45,5895,0.3,12.99,108.1,5.42,7.51,5.16,9241,6
JALD2,8/9/2019,bottom,2.79,29723,2.44,9.96,97.3,6.21,7.57,29.87,46755,5.9
JALD2,8/9/2019,surface,1.39,26231,0.26,10.12,99.6,3.35,7.43,24.76,39250,7.6
