Date_collected,Station,WaterColumnDepth,delta_18O,CollectionMethod,Notes,Node,Lagoon,Drainage
4/16/2019,EELD1,surface,-2.4,pump,NA,BRW,Elson,Elson_E
4/16/2019,EELD1,bottom,-3.2,pump,NA,BRW,Elson,Elson_E
4/14/2019,EWLD1,surface,-1.9,pump,NA,BRW,Elson,Elson_W
4/14/2019,EWLD1,bottom,-2.5,pump,NA,BRW,Elson,Elson_W
4/15/2019,EWLD2,surface,-2.1,pump,NA,BRW,Elson,Elson_W
4/15/2019,EWLD2,bottom,-3.8,pump,NA,BRW,Elson,Elson_W
4/27/2019,JALD2,surface,-2.3,pump,Samples frozen. Vials were taped shut with no headspace at the time they froze (and leaked a bit) and were kept frozen until thawed for analysis.,BTI,Jago,Jago
4/27/2019,JALD2,bottom,-3.4,pump,Samples frozen. Vials were taped shut with no headspace at the time they froze (and leaked a bit) and were kept frozen until thawed for analysis.,BTI,Jago,Jago
4/28/2019,KALD1,surface,-2.5,pump,Samples frozen. Vials were taped shut with no headspace at the time they froze (and leaked a bit) and were kept frozen until thawed for analysis.,BTI,Kakto,Kakto
4/28/2019,KALD1,bottom,-3,pump,Samples frozen. Vials were taped shut with no headspace at the time they froze (and leaked a bit) and were kept frozen until thawed for analysis.,BTI,Kakto,Kakto
4/26/2019,KALD2,surface,-2.8,pump,Samples frozen. Vials were taped shut with no headspace at the time they froze (and leaked a bit) and were kept frozen until thawed for analysis.,BTI,Kakto,Kakto
4/26/2019,KALD2,bottom,-3.5,pump,Samples frozen. Vials were taped shut with no headspace at the time they froze (and leaked a bit) and were kept frozen until thawed for analysis.,BTI,Kakto,Kakto
4/21/2019,SILD1,surface,-4.1,pump,NA,SCC,Simps,Simps
4/21/2019,SILD1,bottom,-4.2,pump,NA,SCC,Simps,Simps
4/20/2019,STLD1,surface,-21,pump,NA,SCC,Stef,Stef
4/20/2019,STLD1,bottom,-2.9,pump,NA,SCC,Stef,Stef
4/19/2019,STLD2,surface,-2.7,pump,NA,SCC,Stef,Stef
4/19/2019,STLD2,bottom,-2.8,pump,NA,SCC,Stef,Stef
4/15/2019,EWLD2,bottom,-3.7,pump,NA,BRW,Elson,Elson_W
4/21/2019,SILD1,surface,-4,pump,NA,SCC,Simps,Simps
6/22/2019,EELS1,NA,-7.7,pump,NA,BRW,Elson,Elson_E
6/23/2019,EWLD1,surface,-8.1,pump,NA,BRW,Elson,Elson_W
6/23/2019,EWLD1,bottom,-10.2,pump,NA,BRW,Elson,Elson_W
6/24/2019,EWLD1,surface,-10.5,pump,NA,BRW,Elson,Elson_W
6/24/2019,EWLD1,bottom,-13,pump,NA,BRW,Elson,Elson_W
6/25/2019,EWLS1,NA,-6.6,pump,NA,BRW,Elson,Elson_W
6/22/2019,EWLS2,NA,-8.5,pump,NA,BRW,Elson,Elson_W
6/20/2019,NNR1,NA,-12.4,pump,NA,BRW,Elson,
6/20/2019,MYR1,NA,-13.9,pump,NA,BRW,Elson,
6/22/2019,JAR1,NA,-21.4,pump,NA,BTI,Jago,
6/21/2019,JALD2,surface,-12.8,pump,NA,BTI,Jago,Jago
6/21/2019,JALD2,bottom,-3.9,pump,NA,BTI,Jago,Jago
6/23/2019,JALS2,NA,-16.1,pump,NA,BTI,Jago,Jago
6/21/2019,KALD2,surface,-10.1,pump,NA,BTI,Kakto,Kakto
6/21/2019,KALD2,bottom,-3.5,pump,NA,BTI,Kakto,Kakto
6/23/2019,KALS2,NA,-11.3,pump,NA,BTI,Kakto,Kakto
6/29/2019,KUR1,NA,-17.4,pump,NA,SCC,Simps,
6/27/2019,SAR1,NA,-20.5,pump,NA,SCC,Stef,
6/30/2019,SILD1,surface,-10.9,pump,NA,SCC,Simps,Simps
6/30/2019,SILD1,bottom,-4.1,pump,NA,SCC,Simps,Simps
6/29/2019,SILS1,NA,-10.5,pump,NA,SCC,Simps,Simps
6/27/2019,STLD1,surface,-16.8,pump,NA,SCC,Stef,Stef
6/27/2019,STLD1,bottom,-3.6,pump,NA,SCC,Stef,Stef
6/27/2019,STLS1,NA,-20.3,pump,NA,SCC,Stef,Stef
6/28/2019,STLS2,NA,-18.2,pump,NA,SCC,Stef,Stef
6/20/2019,NNR1,NA,-12.5,pump,NA,BRW,Elson,
6/21/2019,KALD2,surface,-10.1,pump,NA,BTI,Kakto,Kakto
8/5/2019,AVR1,NA,-11.8,pump,NA,BRW,Elson,
8/5/2019,KUR1,NA,-17.3,pump,NA,SCC,Simps,
8/2/2019,MYR1,NA,-13.8,grab,NA,BRW,Elson,
8/2/2019,NNR1,NA,-13.1,grab,NA,BRW,Elson,
8/3/2019,SAR1,NA,-20,pump,NA,SCC,Stef,
7/31/2019,EELD1,surface,-5.1,pump,NA,BRW,Elson,Elson_E
7/31/2019,EELD1,bottom,-4.7,pump,NA,BRW,Elson,Elson_E
7/31/2019,EELD2,surface,-5,pump,NA,BRW,Elson,Elson_E
7/31/2019,EELD2,bottom,-3.2,pump,NA,BRW,Elson,Elson_E
7/31/2019,EELS1,NA,-5,pump,NA,BRW,Elson,Elson_E
7/31/2019,EELS2,NA,-5.3,pump,NA,BRW,Elson,Elson_E
8/5/2019,EWLD1,surface,-2.7,grab,NA,BRW,Elson,Elson_W
8/5/2019,EWLD1,bottom,-2.5,pump,NA,BRW,Elson,Elson_W
8/5/2019,EWLD2,surface,-3.5,grab,NA,BRW,Elson,Elson_W
8/5/2019,EWLD2,bottom,-3.2,pump,NA,BRW,Elson,Elson_W
8/5/2019,EWLS1,NA,-5.7,grab,NA,BRW,Elson,Elson_W
8/5/2019,EWLS2,NA,-4.5,grab,NA,BRW,Elson,Elson_W
8/9/2019,JALD1,surface,-6.4,pump,NA,BTI,Jago,Jago
8/9/2019,JALD1,bottom,-5.8,pump,NA,BTI,Jago,Jago
8/9/2019,JALD2,surface,-3.4,pump,NA,BTI,Jago,Jago
8/9/2019,JALD2,bottom,-3.3,pump,NA,BTI,Jago,Jago
8/9/2019,JALS1,NA,-6.2,pump,NA,BTI,Jago,Jago
8/9/2019,JALS2,NA,-5.7,pump,NA,BTI,Jago,Jago
8/8/2019,KALD1,surface,-5.7,pump,NA,BTI,Kakto,Kakto
8/8/2019,KALD1,bottom,-5.7,pump,NA,BTI,Kakto,Kakto
